id;titre;annee;genre;auteur;lieu;note
8226;oranges sanguines;;;350;8226;-1.0
5190;smiley;2012;12;1154;5190;3.4
8218;les choses humaines;2021;1;0;8218;-1.0
2914;oups;2011;15;0;2914;-1.0
7387;skam saison 5 et 6 semaine 5 sur 9;;;0;7387;-1.0
6055;quadras;2017;7;443;6055;7.0
6058;les tuche 3;;;845;6058;-1.0
8237;a l'abordage;2009;14;310;8237;-1.0
8230;nuit blanche et gros calins;;;226;8230;-1.0
6052;d'apres une histoire vraie;;;0;6052;-1.0
6064;l'echappee 2;;;1067;6064;-1.0
8242;trois fois rien;2015;15;841;8242;-1.0
7397;en attendant bojangles;;;100;7397;-1.0
8243;les annees 10 - l'infiltre;;;75;8243;-1.0
8248;luz;2018;12;1363;8248;5.5
8249;motw 2;;;819;8249;-1.0
8241;emily in paris;2020;7;0;8241;7.0
7393;c'est quoi cette famille ?! 2;;;0;7393;-1.0
1607;amanda;2018;1;0;1607;7.0
8253;gott du kannst ein arsch sein;;;1771;8253;-1.0
8259;t'as pecho?;;;262;8259;-1.0
8257;find me in paris saison 3( lena reve d'etoiles);;;1621;8257;-1.0
8258;le brio;2017;7;0;8258;6.8
6088;l'envers du decors;2004;14;489;6088;-1.0
8265;alice nevers e110-111;;;1177;8265;-1.0
8268;lola pater;2017;1;1234;8268;6.4
8269;kizie aur manny;;;1336;8269;-1.0
8261;comedie humaine;2010;7;659;8261;6.4
3807;tamara 2 demande n°6;;;0;3807;-1.0
3808;sam saison 3;;;0;3808;-1.0
2959;ramadan a paris;;;910;2959;-1.0
2958;patriot s2;;;0;2958;-1.0
8275;place des victoires;2019;1;937;8275;5.3
8276;diane a les epaules;;;451;8276;-1.0
8273;la fine fleur;;;45;8273;-1.0
8271;des reves au-dessus de leur tete;;;57;8271;-1.0
8288;8 rue de l'humanite;;;996;8288;-1.0
8286;la vie devant soi;2010;1;842;8286;5.6
8280;red oaks;2017;7;727;8280;7.9
8281;abbey road;2006;20;1636;8281;8.4
8284;luther;2019;11;473;8284;8.5
2971;what the fuck france;2016;15;0;2971;7.7
8290;un noel recompose;;;0;8290;-1.0
1657;les joueurs;2006;15;0;1657;-1.0
3832;la verite (...);1960;1;1549;3832;7.6
2995;le temps des egares;;;1026;2995;-1.0
4705;kim-kong;2017;7;0;4705;7.0
1689;remise de peine;;;1060;1689;-1.0
4718;profilage/n° 75 et 76;;;1117;4718;-1.0
4712;or noir;;;1162;4712;-1.0
6905;new horizon (additif 2);;;0;6905;-1.0
6902;osmosis;2019;6;335;6902;5.9
2560;oblomov;1980;7;494;2560;7.7
6916;strom, la 37e prophetie;;;0;6916;-1.0
6913;la ch'tite famille;;;0;6913;-1.0
4734;04:04:02;;;0;4734;-1.0
6915;rosa;2011;19;409;6915;6.6
3415;it's a match;2019;7;865;3415;7.7
6923;robuste;;;903;6923;-1.0
4760;soleil nuit soleil;;;29;4760;-1.0
2583;un tour chez ma fille (utcmf);;;0;2583;-1.0
3428;les estivants;;;496;3428;-1.0
6930;la licorne;1966;7;1758;6930;7.9
824;articule, episode 3;;;1609;824;-1.0
6934;etre en mouvement;;;402;6934;-1.0
5604;van gogh in love;2021;7;867;5604;-1.0
4757;jusqu'a la garde;;;570;4757;-1.0
2595;sparring;2017;1;1385;2595;6.4
3442;les rivieres pourpres;2018;11;1299;3442;6.8
3441;i love you coiffure;2020;7;1297;3441;3.3
