key_lieu;id_lieu;adresse_lieu;ardt_lieu;coord_x;coord_y;geo_shape;geo_point_2d
4323;2017-819;25 rue cail, 75010 paris;75010;2.359324;48.882763;"{""type"": ""Point"", ""coordinates"": [2.35932386907964, 48.88276461256827]}";48.8827646126,2.35932386908
4324;2016-847;16/18  rue  vulpian;75013;2.346303;48.831596;"{""type"": ""Point"", ""coordinates"": [2.346303000186539, 48.83159700003068]}";48.831597,2.34630300019
4325;2018-1146;128 quai de bercy, 75012 paris;75012;2.3844123;48.83241;"{""type"": ""Point"", ""coordinates"": [2.3844121743336, 48.83241037546617]}";48.8324103755,2.38441217433
4326;2016-1096;11  rue  ferdinand gambon;75020;2.407056;48.85373;"{""type"": ""Point"", ""coordinates"": [2.40705600062999, 48.85373000032197]}";48.8537300003,2.40705600063
4327;2018-1382;93 rue de tolbiac, 75013 paris;75013;2.3662288;48.82683;"{""type"": ""Point"", ""coordinates"": [2.366228920098841, 48.826830237206664]}";48.8268302372,2.3662289201
4328;2016-1945;1  rue  de libourne/hotel pullman;75012;2.387386;48.83147;"{""type"": ""Point"", ""coordinates"": [2.38738600057204, 48.831470999638036]}";48.8314709996,2.38738600057
4329;2017-855;5 rue des envierges, 75020 paris;75020;2.386054;48.871685;"{""type"": ""Point"", ""coordinates"": [2.386054091815855, 48.87168423353651]}";48.8716842335,2.38605409182
4330;2016-848;avenue  camoens et escaliers delessert;75016;2.286387;48.859707;"{""type"": ""Point"", ""coordinates"": [2.286387000309065, 48.85970700031926]}";48.8597070003,2.28638700031
4331;2018-1147;11b rue victor schoelcher, 75014 paris;75014;2.3304975;48.83566;"{""type"": ""Point"", ""coordinates"": [2.330497553244542, 48.83565821014929]}";48.8356582101,2.33049755324
4332;2020-1092;place de la commune de paris, 75013 paris;75013;2.3488333;48.827507;"{""type"": ""Point"", ""coordinates"": [2.348833442015674, 48.82750563323043]}";48.8275056332,2.34883344202
4333;2018-1400;132 boulevard de la villette, 75019 paris;75019;2.3705742;48.878654;"{""type"": ""Point"", ""coordinates"": [2.370574346439601, 48.878655237576275]}";48.8786552376,2.37057434644
4334;2016-1962;place  de la nation/avenue de bouvines;75011;2.396501;48.84947;"{""type"": ""Point"", ""coordinates"": [2.396500999736892, 48.84946900022907]}";48.8494690002,2.39650099974
4335;2017-869;6 rue des ursulines, 75005 paris;75005;2.3423314;48.8427;"{""type"": ""Point"", ""coordinates"": [2.342331488352048, 48.842701244370915]}";48.8427012444,2.34233148835
4336;2016-859;42  rue  des petites ecuries;75010;2.350107;48.87392;"{""type"": ""Point"", ""coordinates"": [2.35010699963102, 48.873921000204234]}";48.8739210002,2.35010699963
4337;2018-1153;rue du mont cenis, 75018 paris;75018;2.3429031;48.889816;"{""type"": ""Point"", ""coordinates"": [2.34290313376911, 48.889815127515675]}";48.8898151275,2.34290313377
